,2,3,1,4,5
RTY,0.2764207297084883,0.10139680064676293,0.22438064038811545,0.7914325694570912,1.0589222647103707
TPX,0.39704560240033093,0.1445839916925602,0.193147010505605,0.7573684011489239,1.1103812256989465
HFRXAR,0.02398448112038898,0.015014081017967973,0.010263812516607018,0.17289045059825703,0.21618934753819175
SPVXSTR,1.3105002867240059,0.5681781158380488,0.7368179980891578,0.8413597676532018,7.96300137333449
SPGTIND,0.23671965948283935,0.034419373075408544,0.1620672450981342,0.8143466905107286,0.886742495795801
GECU10YR,1.1210651202595474,0.6171667204881024,0.9120402269992891,2.0000058920919472,7.018067620620149
STCGUSRE,0.17712252931874806,0.3030730656058871,0.2870906809381011,1.2473502968472268,1.024898749843531
MXEU,0.33722093949737253,0.08336450433863019,0.20004796957268978,0.6926011778695812,0.7269382828110613
GUKG10,1.40571053570587,0.7221085213288403,1.159210422181428,2.8439549426994786,6.711900597386502
MXUSMC,0.22600957498804908,0.07376684587536997,0.17115781661358076,0.8383600316326745,0.804608160097954
IBOXIG,0.0434515515503171,0.04432866114347056,0.04172002784859741,0.2422605868269888,0.2325437607942309
NDEUCHF,0.545373148368432,0.06503750576677447,0.480915437142591,0.9966195700148451,1.318042052769429
Cycle,0,0,0,0,0
MXASJ,0.40303344399471197,0.030682753545452135,0.28304320676437733,0.9719367950438,1.1141356770541
SPGSCI,0.4053019582013977,0.14441377106067987,0.20378837842495834,0.9809706719730623,1.428814674057715
MXEF,0.4196803174870559,0.04307983233653334,0.2777518333307203,1.0135383561209177,1.266522595702292
TRVCI,0.408642038335037,0.058781348290503965,0.33722613293124937,0.5095556479137469,1.1485048953682488
CY00,0.03470841612351494,0.03441037132599223,0.02642868233812612,0.20155367519797107,0.17176369723341756
SPX,0.1863562295292288,0.07756931649652588,0.18185255917397658,0.7106443322459844,0.6915294234039359
IADMGOLD,0.2332264573854801,0.0993194143563676,0.11134090933857177,0.528246909648877,1.4032138778971035
SPBDU1ST,0.055627163626105425,0.046834440389852405,0.05268639436934208,0.23004263486711773,0.37493230454198556
BNDGLB,0.022758186314090878,0.03841201295544372,0.032314543556474895,0.11212111440288897,0.19746429050124037
IDCOTCTR,0.028419139976318286,0.028764226202672605,0.030708356385228175,0.10757971143272516,0.2276221795496004
DWCF,0.19873464078643022,0.07595102116573438,0.1756355525288651,0.7181572436551007,0.7152605025085291
AD09X,0.2932397525726743,0.035230656397372995,0.20644278717879772,0.8541215673732103,1.099231886785652
ASX,0.2126688406086601,0.07620240980320836,0.17476497496692378,0.5725198932202487,0.8268467691893584
LBUSTRUU,0.022653391575494508,0.025044855828161294,0.021060690363189583,0.07916551834691343,0.13813123712340813
SPLPEQTY,0.2993193692969899,0.13096578821268046,0.27165186880817505,1.4931607561364268,1.2970139186124543
SREITGL,0.16473856375373552,0.18737322129569267,0.2634518685552254,1.0982686156904338,0.9227244170376945
